Name	corrected
#इसे	# इसे
#एक	# एक
#नहीं	# नहीं
#पहला	# पहला
$greenऔर	$green और
$चिह्न	$ चिह्न
%मॉड्यूलस	%modulus
*ग्रिड्स	*grids
+	 =+
++	 =++
+>	 =+>
+alt+	 =+alt+
+s	 =+s
01/01/2017	1/1/2017
05/23/2018	5/23/2018
0और	0 और
0पर	0 पर
0वें	0 वें
1/2	2-Jan
10/02/1980	10/2/1980
100वें	100 वें
108वें	108 वें
10:	10:00
115वें	115 वें
11:	11:00
12/7/11	12/7/2011
120वें	120 वें
128वें	128 वें
12:	12:00
12भारतीय	12 भारतीय
12लैस	12 लैस
13तक	13 तक
1404chimeraवर्जन	1404chimera वर्जन
140वें	140 वें
16वाँ	16 वाँ
1:	1:00
1और	1 और
1के	1 के
1क्लोज	1close
1निम्न	1 निम्न
1से	1 से
1सेट	1 सेट
2/2	2-Feb
201808210005590	2.02E+14
21फोर्मेट	21format
23वें	23 वें
24Dec15	24-Dec-15
24December15	24-Dec-15
24घंटे	24 घंटे
24वें	24 वें
25312913273512	2.53E+13
29आता	29 आता
2:	2:00
2:1	2:01
2d_3d_प्लॉट्स	2d_3d_plots
2आया	2 आया
2जो	2 जो
2डाइमेंशनल	2dimensional
3/4	4-Mar
30वें	30 वें
37वें	37 वें
3:	3:00
3:15 PM	3:15 PM
3:2	3:02
40से	40 से
45वें	45 वें
4:	4:00
4अंक	4 अंक
4ठीक	4 ठीक
5:	5:00
6:	6:00
7/5	5-Jul
72वें	72 वें
7:	7:00
7:5	7:05
8/3	3-Aug
8/81	Aug-81
80वें	80 वें
89वें	89 वें
8:	8:00
8में	8 में
90वें	90 वें
9783319472386	9.78E+12
98वें	98 वें
99वें	99 वें
9:	9:00
:लीनियर	: लीनियर
<सेमीकोलन>	< सेमीकोलन
<स्पेस>	< स्पेस
 =	 =
@के	@ के
`firstnamelastnameजन्म	`firstnamelastname जन्म
aboutइस	about इस
actionएक्शनmysql	actionmysql
addबटन	addbutton
admin2को	admin2 को
alexऔर	alex और
analysisविकल्प	analysis विकल्प
anilineकी	aniline की
antiएलिएस्ट	antieliest
appletविंडो	appletwindow
applyआइकन	applyicon
applyपर	apply पर
applyबटन	applybutton
asपर	as पर
asपास	as पास
attendanceलेना	attendance लेना
autocorrectस्वसुधारयहाँ	autocorrect स्वसुधारयहाँ
automaticऑप्शन	automaticoption
avogadroको	avogadro को
avogadroपर	avogadro पर
avogadroविंडो	avogadrowindow
axesपर	axes पर
blockmeshdictध्यान	blockmeshdict ध्यान
blockmeshध्यान	blockmesh ध्यान
blocksजो	blocks जो
blockका	block का
blockरेडिश	blockradish
bondचुनुगीं	bond चुनुगीं
booksissuedबुक्स	booksissuedbooks
boundsटेक्स्ट	boundstext
bromoइथेन	bromoethane
bufferedreaderऑब्जेक्ट	bufferedreaderobject
builderपैनल	panel
builtइन	builtin
byteदरbyte	byte दर
canvasपर	canvas पर
carbonकी	carbon की
carbonडाईऑक्साइड	carbondioxide
carboकैटाइअन	carbocation
carboकैटायन	carbocation
characterचुनें	character चुनें
checkइन	checkin
cmlलिखें	cml लिखें
colon/सेमीकॉलन	colon/semicolon
commentकमेंटकर	commentcommenter
commitsऔर	commits और
company/huf/firmया	company/huf/firm या
compatibleपीसी	compatiblepc
complexके	complex के
conditionशर्त	condition शर्त
constructorsकंस्ट्रक्टर्स	constructors
content/फिर	content/ फिर
contentदरcontent	content दर
countफ्प	countfp
cकोडेड	ccoded
cलाइन	cline
dataमैपिंग	datamapping
dateडेटका	date का
dateडेटफंक्शन	datedatefunctions
deactivateपर	deactivate पर
defaultकांटेक्ट	defaultcontact
desktopऑप्शन	desktopoption
detailsको	details को
detailsटेक्स्ट	detailstext
directoriesजो	directories जो
directory/home/anirban/arc/से	directory/home/anirban/arc/ से
discreteअसतत	discrete असतत
division/और	division/ और
diसल्फाइड	disulfide
documentऑप्शन	documentoption
documentके	document के
doubleक्लिक	doubleclick
downडायरेक्सन	downdirection
echoएको	echo एको
echoएकोphp	echo एको
ellipseटूल	ellipsetool
emailइसे	email इसे
emailयह	email यह
